Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Alain ProstPRO,McLaren TAG,52,1:20:12.583,9
2,12,Ayrton SennaSEN,Lotus Renault,52,+30.002s,6
3,27,Michele AlboretoALB,Ferrari,52,+34.356s,4
4,28,Stefan JohanssonJOH,Ferrari,52,+39.073s,3
5,11,Elio de AngelisDEA,Lotus Renault,52,+82.092s,2
6,8,Marc SurerSUR,Brabham BMW,51,+1 lap,1
7,3,Stefan BellofBEL,Tyrrell Renault,49,DNF,0
8,18,Thierry BoutsenBOU,Arrows BMW,49,+3 laps,0
9,24,Huub RothengatterROT,Osella Alfa Romeo,48,+4 laps,0
10,15,Patrick TambayTAM,Renault,46,DNF,0
NC,26,Jacques LaffiteLAF,Ligier Renault,43,DNF,0
NC,29,Pierluigi MartiniMAR,Minardi Motori Moderni,40,DNF,0
NC,1,Niki LaudaLAU,McLaren TAG,39,DNF,0
NC,17,Gerhard BergerBER,Arrows BMW,33,DNF,0
NC,19,Teo FabiFAB,Toleman Hart,31,DNF,0
NC,16,Derek WarwickWAR,Renault,29,DNF,0
NC,10,Kenny AchesonACH,RAM Hart,28,DNF,0
NC,7,Nelson PiquetPIQ,Brabham BMW,26,DNF,0
NC,5,Nigel MansellMAN,Williams Honda,25,DNF,0
NC,22,Riccardo PatresePAT,Alfa Romeo,25,DNF,0
NC,30,Jonathan  PalmerPAL,Zakspeed,17,DNF,0
NC,9,Philippe AlliotALL,RAM Hart,16,DNF,0
NC,25,Andrea de CesarisDEC,Ligier Renault,13,DNF,0
NC,23,Eddie  CheeverCHE,Alfa Romeo,6,DNF,0
NC,6,Keke RosbergROS,Williams Honda,4,DNF,0
