Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,66,1:34:31.421,25
2,33,Max VerstappenVER,Red Bull Racing Honda,66,+29.148s,18
3,77,Valtteri BottasBOT,Mercedes,66,+33.530s,16
4,11,Sergio PerezPER,Red Bull Racing Honda,66,+39.735s,12
5,4,Lando NorrisNOR,McLaren Mercedes,66,+51.369s,10
6,16,Charles LeclercLEC,Ferrari,66,+55.781s,8
7,31,Esteban OconOCO,Alpine Renault,66,+63.749s,6
8,14,Fernando AlonsoALO,Alpine Renault,66,+64.808s,4
9,3,Daniel RicciardoRIC,McLaren Mercedes,66,+75.369s,2
10,10,Pierre GaslyGAS,AlphaTauri Honda,66,+76.463s,1
11,55,Carlos SainzSAI,Ferrari,66,+78.955s,0
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,65,+1 lap,0
13,5,Sebastian VettelVET,Aston Martin Mercedes,65,+1 lap,0
14,18,Lance StrollSTR,Aston Martin Mercedes,65,+1 lap,0
15,22,Yuki TsunodaTSU,AlphaTauri Honda,65,+1 lap,0
16,63,George RussellRUS,Williams Mercedes,65,+1 lap,0
17,47,Mick SchumacherMSC,Haas Ferrari,64,+2 laps,0
18,6,Nicholas LatifiLAT,Williams Mercedes,64,+2 laps,0
19,9,Nikita MazepinMAZ,Haas Ferrari,64,+2 laps,0
NC,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1,DNF,0
