Pos,No,Driver,Car,Laps,Time/retired,Pts
1,33,Max VerstappenVER,Red Bull Racing Honda,71,1:22:18.925,25
2,44,Lewis HamiltonHAM,Mercedes,71,+35.743s,19
3,77,Valtteri BottasBOT,Mercedes,71,+46.907s,15
4,11,Sergio PerezPER,Red Bull Racing Honda,71,+47.434s,12
5,4,Lando NorrisNOR,McLaren Mercedes,70,+1 lap,10
6,55,Carlos SainzSAI,Ferrari,70,+1 lap,8
7,16,Charles LeclercLEC,Ferrari,70,+1 lap,6
8,18,Lance StrollSTR,Aston Martin Mercedes,70,+1 lap,4
9,14,Fernando AlonsoALO,Alpine Renault,70,+1 lap,2
10,22,Yuki TsunodaTSU,AlphaTauri Honda,70,+1 lap,1
11,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,70,+1 lap,0
12,5,Sebastian VettelVET,Aston Martin Mercedes,70,+1 lap,0
13,3,Daniel RicciardoRIC,McLaren Mercedes,70,+1 lap,0
14,31,Esteban OconOCO,Alpine Renault,70,+1 lap,0
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,70,+1 lap,0
16,47,Mick SchumacherMSC,Haas Ferrari,69,+2 laps,0
17,6,Nicholas LatifiLAT,Williams Mercedes,68,+3 laps,0
18,9,Nikita MazepinMAZ,Haas Ferrari,68,+3 laps,0
NC,63,George RussellRUS,Williams Mercedes,36,DNF,0
NC,10,Pierre GaslyGAS,AlphaTauri Honda,1,DNF,0
