Pos,No,Driver,Car,Laps,Time/retired,Pts
1,77,Valtteri BottasBOT,Mercedes,58,1:31:04.103,26
2,33,Max VerstappenVER,Red Bull Racing Honda,58,+14.584s,18
3,11,Sergio PerezPER,Red Bull Racing Honda,58,+33.471s,15
4,16,Charles LeclercLEC,Ferrari,58,+37.814s,12
5,44,Lewis HamiltonHAM,Mercedes,58,+41.812s,10
6,10,Pierre GaslyGAS,AlphaTauri Honda,58,+44.292s,8
7,4,Lando NorrisNOR,McLaren Mercedes,58,+47.213s,6
8,55,Carlos SainzSAI,Ferrari,58,+51.526s,4
9,18,Lance StrollSTR,Aston Martin Mercedes,58,+82.018s,2
10,31,Esteban OconOCO,Alpine Renault,57,+1 lap,1
11,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,57,+1 lap,0
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,57,+1 lap,0
13,3,Daniel RicciardoRIC,McLaren Mercedes,57,+1 lap,0
14,22,Yuki TsunodaTSU,AlphaTauri Honda,57,+1 lap,0
15,63,George RussellRUS,Williams Mercedes,57,+1 lap,0
16,14,Fernando AlonsoALO,Alpine Renault,57,+1 lap,0
17,6,Nicholas LatifiLAT,Williams Mercedes,57,+1 lap,0
18,5,Sebastian VettelVET,Aston Martin Mercedes,57,+1 lap,0
19,47,Mick SchumacherMSC,Haas Ferrari,56,+2 laps,0
20,9,Nikita MazepinMAZ,Haas Ferrari,56,+2 laps,0
