Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,53,1:30:41.001,25
2,33,Max VerstappenVER,Red Bull Racing Honda,53,+53.271s,18
3,55,Carlos SainzSAI,Ferrari,53,+62.475s,15
4,3,Daniel RicciardoRIC,McLaren Mercedes,53,+65.607s,12
5,77,Valtteri BottasBOT,Mercedes,53,+67.533s,10
6,14,Fernando AlonsoALO,Alpine Renault,53,+81.321s,8
7,4,Lando NorrisNOR,McLaren Mercedes,53,+87.224s,7
8,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,53,+88.955s,4
9,11,Sergio PerezPER,Red Bull Racing Honda,53,+90.076s,2
10,63,George RussellRUS,Williams Mercedes,53,+100.551s,1
11,18,Lance StrollSTR,Aston Martin Mercedes,53,+116.198s,0
12,5,Sebastian VettelVET,Aston Martin Mercedes,52,+1 lap,0
13,10,Pierre GaslyGAS,AlphaTauri Honda,52,+1 lap,0
14,31,Esteban OconOCO,Alpine Renault,52,+1 lap,0
15,16,Charles LeclercLEC,Ferrari,52,+1 lap,0
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,52,+1 lap,0
17,22,Yuki TsunodaTSU,AlphaTauri Honda,52,+1 lap,0
18,9,Nikita MazepinMAZ,Haas Ferrari,51,+2 laps,0
19,6,Nicholas LatifiLAT,Williams Mercedes,47,DNF,0
NC,47,Mick SchumacherMSC,Haas Ferrari,32,DNF,0
