Pos,No,Driver,Car,Laps,Time/retired,Pts
1,33,Max VerstappenVER,Red Bull Racing Honda,63,2:02:34.598,25
2,44,Lewis HamiltonHAM,Mercedes,63,+22.000s,19
3,4,Lando NorrisNOR,McLaren Mercedes,63,+23.702s,15
4,16,Charles LeclercLEC,Ferrari,63,+25.579s,12
5,55,Carlos SainzSAI,Ferrari,63,+27.036s,10
6,3,Daniel RicciardoRIC,McLaren Mercedes,63,+51.220s,8
7,10,Pierre GaslyGAS,AlphaTauri Honda,63,+52.818s,6
8,18,Lance StrollSTR,Aston Martin Mercedes,63,+56.909s,4
9,31,Esteban OconOCO,Alpine Renault,63,+65.704s,2
10,14,Fernando AlonsoALO,Alpine Renault,63,+66.561s,1
11,11,Sergio PerezPER,Red Bull Racing Honda,63,+67.151s,0
12,22,Yuki TsunodaTSU,AlphaTauri Honda,63,+73.184s,0
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,63,+94.773s,0
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,62,+1 lap,0
15,5,Sebastian VettelVET,Aston Martin Mercedes,61,DNF,0
16,47,Mick SchumacherMSC,Haas Ferrari,61,+2 laps,0
17,9,Nikita MazepinMAZ,Haas Ferrari,61,+2 laps,0
NC,77,Valtteri BottasBOT,Mercedes,30,DNF,0
NC,63,George RussellRUS,Williams Mercedes,30,DNF,0
NC,6,Nicholas LatifiLAT,Williams Mercedes,0,DNF,0
