Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,50,2:06:15.118,26
2,33,Max VerstappenVER,Red Bull Racing Honda,50,+21.825s,18
3,77,Valtteri BottasBOT,Mercedes,50,+27.531s,15
4,31,Esteban OconOCO,Alpine Renault,50,+27.633s,12
5,3,Daniel RicciardoRIC,McLaren Mercedes,50,+40.121s,10
6,10,Pierre GaslyGAS,AlphaTauri Honda,50,+41.613s,8
7,16,Charles LeclercLEC,Ferrari,50,+44.475s,6
8,55,Carlos SainzSAI,Ferrari,50,+46.606s,4
9,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,50,+58.505s,2
10,4,Lando NorrisNOR,McLaren Mercedes,50,+61.358s,1
11,18,Lance StrollSTR,Aston Martin Mercedes,50,+77.212s,0
12,6,Nicholas LatifiLAT,Williams Mercedes,50,+83.249s,0
13,14,Fernando AlonsoALO,Alpine Renault,49,+1 lap,0
14,22,Yuki TsunodaTSU,AlphaTauri Honda,49,+1 lap,0
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,49,+1 lap,0
NC,5,Sebastian VettelVET,Aston Martin Mercedes,44,DNF,0
NC,11,Sergio PerezPER,Red Bull Racing Honda,14,DNF,0
NC,9,Nikita MazepinMAZ,Haas Ferrari,14,DNF,0
NC,63,George RussellRUS,Williams Mercedes,14,DNF,0
NC,47,Mick SchumacherMSC,Haas Ferrari,8,DNF,0
