Pos,No,Driver,Car,Laps,Time/retired,Pts
1,33,Max VerstappenVER,Red Bull Racing Honda,58,1:30:17.345,26
2,44,Lewis HamiltonHAM,Mercedes,58,+2.256s,18
3,55,Carlos SainzSAI,Ferrari,58,+5.173s,15
4,22,Yuki TsunodaTSU,AlphaTauri Honda,58,+5.692s,12
5,10,Pierre GaslyGAS,AlphaTauri Honda,58,+6.531s,10
6,77,Valtteri BottasBOT,Mercedes,58,+7.463s,8
7,4,Lando NorrisNOR,McLaren Mercedes,58,+59.200s,6
8,14,Fernando AlonsoALO,Alpine Renault,58,+61.708s,4
9,31,Esteban OconOCO,Alpine Renault,58,+64.026s,2
10,16,Charles LeclercLEC,Ferrari,58,+66.057s,1
11,5,Sebastian VettelVET,Aston Martin Mercedes,58,+67.527s,0
12,3,Daniel RicciardoRIC,McLaren Mercedes,57,+1 lap,0
13,18,Lance StrollSTR,Aston Martin Mercedes,57,+1 lap,0
14,47,Mick SchumacherMSC,Haas Ferrari,57,+1 lap,0
15,11,Sergio PerezPER,Red Bull Racing Honda,55,DNF,0
NC,6,Nicholas LatifiLAT,Williams Mercedes,50,DNF,0
NC,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,33,DNF,0
NC,63,George RussellRUS,Williams Mercedes,26,DNF,0
NC,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,25,DNF,0
