Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:17.762
2,2,Rubens BarrichelloBAR,Ferrari,1:18.020
3,8,Fernando AlonsoALO,Renault,1:18.233
4,7,Jarno TrulliTRU,Renault,1:18.615
5,17,Jenson ButtonBUT,BAR Honda,1:18.704
6,20,Olivier PanisPAN,Toyota,1:18.811
7,4,Ralf SchumacherRSC,Williams BMW,1:19.006
8,5,David CoulthardCOU,McLaren Mercedes,1:19.128
9,3,Juan Pablo MontoyaMOY,Williams BMW,1:19.377
10,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:19.427
11,16,Jacques VilleneuveVIL,BAR Honda,1:19.563
12,14,Mark WebberWEB,Jaguar Cosworth,1:19.615
13,21,Cristiano da MattaDAM,Toyota,1:19.623
14,9,Nick HeidfeldHEI,Sauber Petronas,1:19.646
15,12,Ralph FirmanFIR,Jordan Ford,1:20.215
16,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:20.308
17,11,Giancarlo FisichellaFIS,Jordan Ford,1:20.976
18,18,Justin WilsonWIL,Minardi Cosworth,1:22.104
19,19,Jos VerstappenVER,Minardi Cosworth,1:22.237
20,6,Kimi RäikkönenRAI,McLaren Mercedes,
