Pos,No,Driver,Car,Time
1,4,Ralf SchumacherRSC,Williams BMW,1:15.019
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:15.136
3,1,Michael SchumacherMSC,Ferrari,1:15.480
4,6,Kimi RäikkönenRAI,McLaren Mercedes,1:15.533
5,5,David CoulthardCOU,McLaren Mercedes,1:15.628
6,7,Jarno TrulliTRU,Renault,1:15.967
7,8,Fernando AlonsoALO,Renault,1:16.087
8,2,Rubens BarrichelloBAR,Ferrari,1:16.166
9,14,Mark WebberWEB,Jaguar Cosworth,1:16.308
10,20,Olivier PanisPAN,Toyota,1:16.345
11,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:16.965
12,16,Jacques VilleneuveVIL,BAR Honda,1:16.990
13,21,Cristiano da MattaDAM,Toyota,1:17.068
14,17,Jenson ButtonBUT,BAR Honda,1:17.077
15,9,Nick HeidfeldHEI,Sauber Petronas,1:17.445
16,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:17.562
17,11,Giancarlo FisichellaFIS,Jordan Ford,1:18.431
18,12,Ralph FirmanFIR,Jordan Ford,1:18.514
19,19,Jos VerstappenVER,Minardi Cosworth,1:18.709
20,18,Justin WilsonWIL,Minardi Cosworth,1:19.619
