Pos,No,Driver,Car,Time
1,2,Rubens BarrichelloBAR,Ferrari,1:13.807
2,5,David CoulthardCOU,McLaren Mercedes,1:13.818
3,14,Mark WebberWEB,Jaguar Cosworth,1:13.851
4,6,Kimi RäikkönenRAI,McLaren Mercedes,1:13.866
5,7,Jarno TrulliTRU,Renault,1:13.953
6,4,Ralf SchumacherRSC,Williams BMW,1:14.124
7,1,Michael SchumacherMSC,Ferrari,1:14.130
8,11,Giancarlo FisichellaFIS,Jordan Ford,1:14.191
9,3,Juan Pablo MontoyaMOY,Williams BMW,1:14.223
10,8,Fernando AlonsoALO,Renault,1:14.384
11,17,Jenson ButtonBUT,BAR Honda,1:14.504
12,9,Nick HeidfeldHEI,Sauber Petronas,1:14.631
13,16,Jacques VilleneuveVIL,BAR Honda,1:14.668
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:14.839
15,20,Olivier PanisPAN,Toyota,1:14.839
16,12,Ralph FirmanFIR,Jordan Ford,1:15.240
17,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:15.317
18,21,Cristiano da MattaDAM,Toyota,1:15.641
19,19,Jos VerstappenVER,Minardi Cosworth,1:16.542
20,18,Justin WilsonWIL,Minardi Cosworth,1:16.586
