Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:38.986,
2,1,Ayrton SennaSEN,McLaren Honda,1:40.974,+1.988s
3,2,Gerhard BergerBER,McLaren Honda,1:41.771,+2.785s
4,6,Riccardo PatresePAT,Williams Renault,1:41.849,+2.863s
5,19,Michael SchumacherMSC,Benetton Ford,1:42.223,+3.237s
6,27,Jean AlesiALE,Ferrari,1:43.580,+4.594s
7,20,Martin BrundleBRU,Benetton Ford,1:43.620,+4.634s
8,25,Thierry BoutsenBOU,Ligier Renault,1:44.193,+5.207s
9,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:44.319,+5.333s
10,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:44.384,+5.398s
11,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:44.499,+5.513s
12,9,Michele AlboretoALB,Footwork Mugen Honda,1:44.569,+5.583s
13,26,Erik ComasCOM,Ligier Renault,1:44.609,+5.623s
14,12,Johnny HerbertHER,Lotus Ford,1:44.720,+5.734s
15,16,Karl WendlingerWEN,March Ilmor,1:44.971,+5.985s
16,28,Ivan CapelliCAP,Ferrari,1:45.263,+6.277s
17,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:45.348,+6.362s
18,17,Paul BelmondoBEL,March Ilmor,1:45.450,+6.464s
19,15,Gabriele TarquiniTAR,Fondmetal Ford,1:45.626,+6.640s
20,22,Pierluigi MartiniMAR,Dallara Ferrari,1:45.638,+6.652s
21,29,Bertrand GachotGAC,Venturi Lamborghini,1:45.716,+6.730s
22,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:46.001,+7.015s
23,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:46.019,+7.033s
24,23,Alessandro ZanardiZAN,Minardi Lamborghini,1:46.151,+7.165s
25,11,Mika HakkinenHAK,Lotus Ford,1:46.179,+7.193s
26,14,Andrea ChiesaCHI,Fondmetal Ford,1:47.172,+8.186s
27,33,Mauricio GugelminGUG,Jordan Yamaha,1:47.285,+8.299s
28,32,Stefano ModenaMOD,Jordan Yamaha,1:47.308,+8.322s
29,7,Eric van de PoeleVAN,Brabham Judd,1:48.256,+9.270s
30,8,Damon HillHIL,Brabham Judd,1:48.326,+9.340s
