Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:20.458,
2,5,Nigel MansellMAN,Williams Renault,1:20.785,+0.327s
3,2,Gerhard BergerBER,McLaren Honda,1:20.928,+0.470s
4,6,Riccardo PatresePAT,Williams Renault,1:20.986,+0.528s
5,19,Michael SchumacherMSC,Benetton Ford,1:21.445,+0.987s
6,27,Jean AlesiALE,Ferrari,1:22.323,+1.865s
7,20,Martin BrundleBRU,Benetton Ford,1:22.446,+1.988s
8,12,Johnny HerbertHER,Lotus Ford,1:22.919,+2.461s
9,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:23.128,+2.670s
10,9,Michele AlboretoALB,Footwork Mugen Honda,1:23.421,+2.963s
11,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:23.437,+2.979s
12,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:23.499,+3.041s
13,16,Karl WendlingerWEN,March Ilmor,1:23.533,+3.075s
14,29,Bertrand GachotGAC,Venturi Lamborghini,1:23.693,+3.235s
15,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:23.727,+3.269s
16,11,Mika HakkinenHAK,Lotus Ford,1:23.771,+3.313s
17,32,Stefano ModenaMOD,Jordan Yamaha,1:23.825,+3.367s
18,26,Erik ComasCOM,Ligier Renault,1:23.920,+3.462s
19,28,Ivan CapelliCAP,Ferrari,1:23.945,+3.487s
20,25,Thierry BoutsenBOU,Ligier Renault,1:24.453,+3.995s
21,33,Mauricio GugelminGUG,Jordan Yamaha,1:24.481,+4.023s
22,22,Pierluigi MartiniMAR,Dallara Ferrari,1:24.723,+4.265s
23,23,Christian FittipaldiFIT,Minardi Lamborghini,1:24.871,+4.413s
24,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:25.045,+4.587s
25,17,Paul BelmondoBEL,March Ilmor,1:25.109,+4.651s
26,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:25.335,+4.877s
27,14,Andrea ChiesaCHI,Fondmetal Ford,1:25.415,+4.957s
28,15,Gabriele TarquiniTAR,Fondmetal Ford,1:25.528,+5.070s
29,7,Eric van de PoeleVAN,Brabham Judd,1:30.764,+10.306s
30,8,Damon HillHIL,Brabham Judd,1:31.628,+11.170s
