Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:16.523,
2,6,Riccardo PatresePAT,Williams Renault,1:16.758,+0.235s
3,2,Gerhard BergerBER,McLaren Honda,1:17.163,+0.640s
4,1,Ayrton SennaSEN,McLaren Honda,1:17.344,+0.821s
5,27,Jean AlesiALE,Ferrari,1:18.184,+1.661s
6,19,Michael SchumacherMSC,Benetton Ford,1:18.659,+2.136s
7,28,Ivan CapelliCAP,Ferrari,1:18.904,+2.381s
8,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:19.034,+2.511s
9,16,Karl WendlingerWEN,March Ilmor,1:19.155,+2.632s
10,20,Martin BrundleBRU,Benetton Ford,1:19.254,+2.731s
11,12,Johnny HerbertHER,Lotus Ford,1:19.532,+3.009s
12,32,Stefano ModenaMOD,Jordan Yamaha,1:19.828,+3.305s
13,9,Michele AlboretoALB,Footwork Mugen Honda,1:19.957,+3.434s
14,23,Christian FittipaldiFIT,Minardi Lamborghini,1:20.266,+3.743s
15,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:20.317,+3.794s
16,33,Mauricio GugelminGUG,Jordan Yamaha,1:20.526,+4.003s
17,26,Erik ComasCOM,Ligier Renault,1:20.627,+4.104s
18,11,Mika HakkinenHAK,Lotus Ford,1:20.629,+4.106s
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:20.682,+4.159s
20,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:20.696,+4.173s
21,15,Gabriele TarquiniTAR,Fondmetal Ford,1:20.744,+4.221s
22,25,Thierry BoutsenBOU,Ligier Renault,1:20.747,+4.224s
23,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:21.441,+4.918s
24,22,Pierluigi MartiniMAR,Dallara Ferrari,1:21.749,+5.226s
25,14,Andrea ChiesaCHI,Fondmetal Ford,1:21.827,+5.304s
26,7,Eric van de PoeleVAN,Brabham Judd,1:21.961,+5.438s
27,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:22.040,+5.517s
28,17,Paul BelmondoBEL,March Ilmor,1:22.204,+5.681s
29,29,Bertrand GachotGAC,Venturi Lamborghini,1:22.226,+5.703s
30,8,Giovanna AmatiAMA,Brabham Judd,1:25.176,+8.653s
