Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:37.978,
2,1,Ayrton SennaSEN,McLaren Honda,1:39.260,+1.282s
3,6,Riccardo PatresePAT,Williams Renault,1:39.326,+1.348s
4,2,Gerhard BergerBER,McLaren Honda,1:40.495,+2.517s
5,19,Michael SchumacherMSC,Benetton Ford,1:41.622,+3.644s
6,12,Johnny HerbertHER,Lotus Ford,1:42.145,+4.167s
7,25,Thierry BoutsenBOU,Ligier Renault,1:42.430,+4.452s
8,27,Jean AlesiALE,Ferrari,1:42.622,+4.644s
9,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:42.762,+4.784s
10,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:42.788,+4.810s
11,20,Martin BrundleBRU,Benetton Ford,1:42.943,+4.965s
12,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:42.991,+5.013s
13,32,Stefano ModenaMOD,Jordan Yamaha,1:43.235,+5.257s
14,26,Erik ComasCOM,Ligier Renault,1:43.395,+5.417s
15,29,Bertrand GachotGAC,Venturi Lamborghini,1:43.439,+5.461s
16,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:43.814,+5.836s
17,28,Nicola LariniLAR,Ferrari,1:43.840,+5.862s
18,23,Christian FittipaldiFIT,Minardi Lamborghini,1:44.086,+6.108s
19,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:44.112,+6.134s
20,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:44.440,+6.462s
21,11,Mika HakkinenHAK,Lotus Ford,1:44.469,+6.491s
22,22,Pierluigi MartiniMAR,Dallara Ferrari,1:45.093,+7.115s
23,9,Michele AlboretoALB,Footwork Mugen Honda,1:45.330,+7.352s
24,33,Mauricio GugelminGUG,Jordan Yamaha,1:45.721,+7.743s
25,16,Jan LammersLAM,March Ilmor,1:46.721,+8.743s
26,17,Emanuele NaspettiNAS,March Ilmor,1:46.767,+8.789s
