Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:20.246,
2,6,Riccardo PatresePAT,Williams Renault,1:21.356,+1.110s
3,2,Gerhard BergerBER,McLaren Honda,1:22.731,+2.485s
4,1,Ayrton SennaSEN,McLaren Honda,1:22.766,+2.520s
5,19,Michael SchumacherMSC,Benetton Ford,1:23.271,+3.025s
6,27,Jean AlesiALE,Ferrari,1:23.650,+3.404s
7,20,Martin BrundleBRU,Benetton Ford,1:23.973,+3.727s
8,12,Johnny HerbertHER,Lotus Ford,1:24.606,+4.360s
9,15,Gabriele TarquiniTAR,Fondmetal Ford,1:24.844,+4.598s
10,11,Mika HakkinenHAK,Lotus Ford,1:25.015,+4.769s
11,9,Michele AlboretoALB,Footwork Mugen Honda,1:25.015,+4.769s
12,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:25.195,+4.949s
13,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:25.294,+5.048s
14,28,Ivan CapelliCAP,Ferrari,1:25.307,+5.061s
15,25,Thierry BoutsenBOU,Ligier Renault,1:25.464,+5.218s
16,26,Erik ComasCOM,Ligier Renault,1:25.506,+5.260s
17,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:25.549,+5.303s
18,29,Bertrand GachotGAC,Venturi Lamborghini,1:25.630,+5.384s
19,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:25.675,+5.429s
20,22,Pierluigi MartiniMAR,Dallara Ferrari,1:25.795,+5.549s
21,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:26.195,+5.949s
22,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:26.286,+6.040s
23,33,Mauricio GugelminGUG,Jordan Yamaha,1:26.556,+6.310s
24,16,Karl WendlingerWEN,March Ilmor,1:26.564,+6.318s
25,8,Damon HillHIL,Brabham Judd,1:27.390,+7.144s
26,17,Paul BelmondoBEL,March Ilmor,1:27.506,+7.260s
27,32,Stefano ModenaMOD,Jordan Yamaha,1:27.559,+7.313s
28,23,Alessandro ZanardiZAN,Minardi Lamborghini,1:27.717,+7.471s
29,7,Eric van de PoeleVAN,Brabham Judd,1:30.873,+10.627s
