Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:15.423,
2,6,Riccardo PatresePAT,Williams Renault,1:15.912,+0.489s
3,1,Ayrton SennaSEN,McLaren Honda,1:16.269,+0.846s
4,2,Gerhard BergerBER,McLaren Honda,1:16.892,+1.469s
5,19,Michael SchumacherMSC,Benetton Ford,1:16.918,+1.495s
6,27,Jean AlesiALE,Ferrari,1:16.967,+1.544s
7,20,Martin BrundleBRU,Benetton Ford,1:16.990,+1.567s
8,25,Thierry BoutsenBOU,Ligier Renault,1:17.939,+2.516s
9,26,Erik ComasCOM,Ligier Renault,1:18.205,+2.782s
10,32,Stefano ModenaMOD,Jordan Yamaha,1:18.234,+2.811s
11,29,Bertrand GachotGAC,Venturi Lamborghini,1:18.777,+3.354s
12,23,Christian FittipaldiFIT,Minardi Lamborghini,1:18.799,+3.376s
13,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:18.939,+3.516s
14,22,Pierluigi MartiniMAR,Dallara Ferrari,1:18.968,+3.545s
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:19.016,+3.593s
16,33,Mauricio GugelminGUG,Jordan Yamaha,1:19.050,+3.627s
17,16,Karl WendlingerWEN,March Ilmor,1:19.212,+3.789s
18,11,Mika HakkinenHAK,Lotus Ford,1:19.239,+3.816s
19,9,Michele AlboretoALB,Footwork Mugen Honda,1:19.339,+3.916s
20,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:19.404,+3.981s
21,28,Ivan CapelliCAP,Ferrari,1:19.448,+4.025s
22,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:19.468,+4.045s
23,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:19.705,+4.282s
24,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:19.875,+4.452s
25,15,Gabriele TarquiniTAR,Fondmetal Ford,1:19.882,+4.459s
26,17,Paul BelmondoBEL,March Ilmor,1:19.954,+4.531s
27,12,Johnny HerbertHER,Lotus Ford,1:20.344,+4.921s
28,14,Andrea ChiesaCHI,Fondmetal Ford,1:20.736,+5.313s
29,7,Eric van de PoeleVAN,Brabham Judd,1:21.721,+6.298s
30,8,Damon HillHIL,Brabham Judd,1:23.585,+8.162s
