Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:13.761,
2,6,Riccardo PatresePAT,Williams Renault,1:14.075,+0.314s
3,2,Gerhard BergerBER,McLaren Honda,1:15.371,+1.610s
4,1,Ayrton SennaSEN,McLaren Honda,1:15.529,+1.768s
5,19,Michael SchumacherMSC,Benetton Ford,1:16.148,+2.387s
6,12,Johnny HerbertHER,Lotus Ford,1:16.448,+2.687s
7,20,Martin BrundleBRU,Benetton Ford,1:16.552,+2.791s
8,11,Mika HakkinenHAK,Lotus Ford,1:16.981,+3.220s
9,27,Jean AlesiALE,Ferrari,1:17.061,+3.300s
10,9,Michele AlboretoALB,Footwork Mugen Honda,1:17.063,+3.302s
11,29,Bertrand GachotGAC,Venturi Lamborghini,1:17.066,+3.305s
12,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:17.093,+3.332s
13,26,Erik ComasCOM,Ligier Renault,1:17.186,+3.425s
14,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:17.310,+3.549s
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:17.545,+3.784s
16,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:17.600,+3.839s
17,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:18.039,+4.278s
18,16,Karl WendlingerWEN,March Ilmor,1:18.129,+4.368s
19,17,Emanuele NaspettiNAS,March Ilmor,1:18.326,+4.565s
20,33,Mauricio GugelminGUG,Jordan Yamaha,1:18.349,+4.588s
21,22,Pierluigi MartiniMAR,Dallara Ferrari,1:18.545,+4.784s
22,25,Thierry BoutsenBOU,Ligier Renault,1:18.701,+4.940s
23,28,Ivan CapelliCAP,Ferrari,1:18.714,+4.953s
24,32,Stefano ModenaMOD,Jordan Yamaha,1:18.815,+5.054s
25,23,Christian FittipaldiFIT,Minardi Lamborghini,1:18.916,+5.155s
26,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:18.945,+5.184s
