Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:52.675,
2,6,Riccardo PatresePAT,Williams Renault,1:54.266,+1.591s
3,1,Ayrton SennaSEN,McLaren Honda,1:54.517,+1.842s
4,25,Thierry BoutsenBOU,Ligier Renault,1:55.966,+3.291s
5,19,Michael SchumacherMSC,Benetton Ford,1:56.094,+3.419s
6,20,Martin BrundleBRU,Benetton Ford,1:56.189,+3.514s
7,2,Gerhard BergerBER,McLaren Honda,1:56.211,+3.536s
8,12,Johnny HerbertHER,Lotus Ford,1:56.498,+3.823s
9,11,Mika HakkinenHAK,Lotus Ford,1:57.224,+4.549s
10,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:57.393,+4.718s
11,32,Stefano ModenaMOD,Jordan Yamaha,1:57.702,+5.027s
12,27,Jean AlesiALE,Ferrari,1:57.769,+5.094s
13,28,Ivan CapelliCAP,Ferrari,1:57.818,+5.143s
14,16,Karl WendlingerWEN,March Ilmor,1:58.345,+5.670s
15,33,Mauricio GugelminGUG,Jordan Yamaha,1:58.485,+5.810s
16,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:58.661,+5.986s
17,15,Gabriele TarquiniTAR,Fondmetal Ford,1:58.746,+6.071s
18,29,Bertrand GachotGAC,Venturi Lamborghini,1:58.897,+6.222s
19,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:58.910,+6.235s
20,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:59.090,+6.415s
21,9,Michele AlboretoALB,Footwork Mugen Honda,1:59.136,+6.461s
22,14,Eric van de PoeleVAN,Fondmetal Ford,1:59.294,+6.619s
23,22,Pierluigi MartiniMAR,Dallara Ferrari,1:59.436,+6.761s
24,10,Aguri SuzukiSUZ,Footwork Mugen Honda,2:00.055,+7.380s
25,26,Erik ComasCOM,Ligier Renault,2:00.481,+7.806s
26,30,Ukyo KatayamaKAT,Venturi Lamborghini,2:01.218,+8.543s
27,17,Emanuele NaspettiNAS,March Ilmor,2:01.420,+8.745s
28,23,Christian FittipaldiFIT,Minardi Lamborghini,2:02.714,+10.039s
29,35,Perry McCarthyMCC,Moda Judd,2:08.583,+15.908s
30,34,Roberto MorenoMOR,Moda Judd,6:38.558,+45.883s
