Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:17.406,
2,6,Riccardo PatresePAT,Williams Renault,1:18.510,+1.104s
3,19,Michael SchumacherMSC,Benetton Ford,1:18.754,+1.348s
4,2,Gerhard BergerBER,McLaren Honda,1:19.203,+1.797s
5,1,Ayrton SennaSEN,McLaren Honda,1:19.603,+2.197s
6,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:20.677,+3.271s
7,22,Pierluigi MartiniMAR,Dallara Ferrari,1:21.296,+3.890s
8,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:21.342,+3.936s
9,23,Christian FittipaldiFIT,Minardi Lamborghini,1:21.361,+3.955s
10,27,Jean AlesiALE,Ferrari,1:21.389,+3.983s
11,20,Martin BrundleBRU,Benetton Ford,1:21.495,+4.089s
12,15,Gabriele TarquiniTAR,Fondmetal Ford,1:21.712,+4.306s
13,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:22.186,+4.780s
14,29,Bertrand GachotGAC,Venturi Lamborghini,1:22.334,+4.928s
15,33,Mauricio GugelminGUG,Jordan Yamaha,1:22.360,+4.954s
16,25,Thierry BoutsenBOU,Ligier Renault,1:22.368,+4.962s
17,16,Karl WendlingerWEN,March Ilmor,1:22.528,+5.122s
18,9,Michele AlboretoALB,Footwork Mugen Honda,1:22.589,+5.183s
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:22.691,+5.285s
20,28,Ivan CapelliCAP,Ferrari,1:22.741,+5.335s
21,11,Mika HakkinenHAK,Lotus Ford,1:22.784,+5.378s
22,14,Andrea ChiesaCHI,Fondmetal Ford,1:22.898,+5.492s
23,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:22.948,+5.542s
24,17,Paul BelmondoBEL,March Ilmor,1:23.146,+5.740s
25,26,Erik ComasCOM,Ligier Renault,1:23.368,+5.962s
26,12,Johnny HerbertHER,Lotus Ford,1:23.585,+6.179s
27,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:23.629,+6.223s
28,32,Stefano ModenaMOD,Jordan Yamaha,1:23.790,+6.384s
29,7,Eric van de PoeleVAN,Brabham Judd,1:24.389,+6.983s
30,8,Giovanna AmatiAMA,Brabham Judd,1:27.623,+10.217s
