Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:19.604,
2,6,Riccardo PatresePAT,Williams Renault,1:20.187,+0.583s
3,19,Michael SchumacherMSC,Benetton Ford,1:20.494,+0.890s
4,1,Ayrton SennaSEN,McLaren Honda,1:21.340,+1.736s
5,2,Gerhard BergerBER,McLaren Honda,1:21.672,+2.068s
6,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:22.248,+2.644s
7,28,Ivan CapelliCAP,Ferrari,1:22.304,+2.700s
8,20,Martin BrundleBRU,Benetton Ford,1:22.399,+2.795s
9,27,Jean AlesiALE,Ferrari,1:22.577,+2.973s
10,16,Karl WendlingerWEN,March Ilmor,1:23.369,+3.765s
11,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:23.900,+4.296s
12,26,Erik ComasCOM,Ligier Renault,1:23.983,+4.379s
13,25,Thierry BoutsenBOU,Ligier Renault,1:24.389,+4.785s
14,9,Michele AlboretoALB,Footwork Mugen Honda,1:24.409,+4.805s
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:24.685,+5.081s
16,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:24.740,+5.136s
17,33,Mauricio GugelminGUG,Jordan Yamaha,1:24.945,+5.341s
18,15,Gabriele TarquiniTAR,Fondmetal Ford,1:24.979,+5.375s
19,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:25.040,+5.436s
20,23,Christian FittipaldiFIT,Minardi Lamborghini,1:25.110,+5.506s
21,22,Pierluigi MartiniMAR,Dallara Ferrari,1:25.146,+5.542s
22,14,Andrea ChiesaCHI,Fondmetal Ford,1:25.316,+5.712s
23,29,Bertrand GachotGAC,Venturi Lamborghini,1:25.458,+5.854s
24,17,Paul BelmondoBEL,March Ilmor,1:25.839,+6.235s
25,32,Stefano ModenaMOD,Jordan Yamaha,1:26.250,+6.646s
26,12,Johnny HerbertHER,Lotus Ford,1:26.261,+6.657s
27,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:26.724,+7.120s
28,7,Eric van de PoeleVAN,Brabham Judd,1:27.300,+7.696s
29,8,Damon HillHIL,Brabham Judd,1:27.641,+8.037s
30,11,Mika HakkinenHAK,Lotus Ford,1:27.844,+8.240s
