Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:15.882,
2,2,Gerhard BergerBER,McLaren Honda,1:16.703,+0.821s
3,1,Ayrton SennaSEN,McLaren Honda,1:16.884,+1.002s
4,5,Nigel MansellMAN,Williams Renault,1:17.427,+1.545s
5,19,Michael SchumacherMSC,Benetton Ford,1:18.098,+2.216s
6,20,Martin BrundleBRU,Benetton Ford,1:19.325,+3.443s
7,15,Gabriele TarquiniTAR,Fondmetal Ford,1:19.760,+3.878s
8,29,Bertrand GachotGAC,Venturi Lamborghini,1:19.778,+3.896s
9,28,Ivan CapelliCAP,Ferrari,1:19.915,+4.033s
10,16,Karl WendlingerWEN,March Ilmor,1:19.952,+4.070s
11,26,Erik ComasCOM,Ligier Renault,1:20.003,+4.121s
12,27,Jean AlesiALE,Ferrari,1:20.318,+4.436s
13,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:20.592,+4.710s
14,25,Thierry BoutsenBOU,Ligier Renault,1:20.633,+4.751s
15,12,Johnny HerbertHER,Lotus Ford,1:20.696,+4.814s
16,9,Michele AlboretoALB,Footwork Mugen Honda,1:20.755,+4.873s
17,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:20.902,+5.020s
18,33,Mauricio GugelminGUG,Jordan Yamaha,1:20.922,+5.040s
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:21.104,+5.222s
20,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:21.228,+5.346s
21,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:21.669,+5.787s
22,32,Stefano ModenaMOD,Jordan Yamaha,1:21.725,+5.843s
23,22,Pierluigi MartiniMAR,Dallara Ferrari,1:22.146,+6.264s
24,11,Mika HakkinenHAK,Lotus Ford,1:22.261,+6.379s
25,34,Roberto MorenoMOR,Moda Judd,1:22.279,+6.397s
26,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:22.738,+6.856s
27,8,Damon HillHIL,Brabham Judd,1:22.789,+6.907s
28,17,Paul BelmondoBEL,March Ilmor,1:22.806,+6.924s
29,23,Alessandro ZanardiZAN,Minardi Lamborghini,1:23.005,+7.123s
