Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:22.714,
2,1,Ayrton SennaSEN,McLaren Honda,1:22.868,+0.154s
3,6,Riccardo PatresePAT,Williams Renault,1:23.514,+0.800s
4,27,Jean AlesiALE,Ferrari,1:23.747,+1.033s
5,2,Gerhard BergerBER,McLaren Honda,1:24.103,+1.389s
6,19,Michael SchumacherMSC,Benetton Ford,1:24.381,+1.667s
7,28,Ivan CapelliCAP,Ferrari,1:25.029,+2.315s
8,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:25.489,+2.775s
9,9,Michele AlboretoALB,Footwork Mugen Honda,1:25.583,+2.869s
10,20,Martin BrundleBRU,Benetton Ford,1:25.625,+2.911s
11,25,Thierry BoutsenBOU,Ligier Renault,1:25.798,+3.084s
12,26,Erik ComasCOM,Ligier Renault,1:26.226,+3.512s
13,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:26.267,+3.553s
14,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:26.278,+3.564s
15,22,Pierluigi MartiniMAR,Dallara Ferrari,1:26.442,+3.728s
16,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:26.484,+3.770s
17,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:26.489,+3.775s
18,32,Stefano ModenaMOD,Jordan Yamaha,1:26.587,+3.873s
19,16,Karl WendlingerWEN,March Ilmor,1:26.867,+4.153s
20,33,Mauricio GugelminGUG,Jordan Yamaha,1:27.025,+4.311s
21,11,Mika HakkinenHAK,Lotus Ford,1:27.789,+5.075s
22,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:27.847,+5.133s
23,15,Gabriele TarquiniTAR,Fondmetal Ford,1:27.853,+5.139s
24,12,Johnny HerbertHER,Lotus Ford,1:27.907,+5.193s
25,23,Christian FittipaldiFIT,Minardi Lamborghini,1:28.378,+5.664s
26,14,Andrea ChiesaCHI,Fondmetal Ford,1:28.474,+5.760s
27,17,Paul BelmondoBEL,March Ilmor,1:29.324,+6.610s
