Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:13.997,
2,1,Ayrton SennaSEN,McLaren Honda,1:14.618,+0.621s
3,6,Riccardo PatresePAT,Williams Renault,1:14.895,+0.898s
4,2,Gerhard BergerBER,McLaren Honda,1:15.077,+1.080s
5,19,Michael SchumacherMSC,Benetton Ford,1:15.179,+1.182s
6,12,Johnny HerbertHER,Lotus Ford,1:16.578,+2.581s
7,27,Jean AlesiALE,Ferrari,1:16.638,+2.641s
8,20,Martin BrundleBRU,Benetton Ford,1:16.913,+2.916s
9,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:16.997,+3.000s
10,9,Michele AlboretoALB,Footwork Mugen Honda,1:17.049,+3.052s
11,22,Pierluigi MartiniMAR,Dallara Ferrari,1:17.203,+3.206s
12,11,Mika HakkinenHAK,Lotus Ford,1:17.261,+3.264s
13,32,Stefano ModenaMOD,Jordan Yamaha,1:17.574,+3.577s
14,29,Bertrand GachotGAC,Venturi Lamborghini,1:17.647,+3.650s
15,23,Christian FittipaldiFIT,Minardi Lamborghini,1:17.764,+3.767s
16,17,Emanuele NaspettiNAS,March Ilmor,1:17.772,+3.775s
17,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:17.995,+3.998s
18,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:18.009,+4.012s
19,26,Erik ComasCOM,Ligier Renault,1:18.078,+4.081s
20,25,Thierry BoutsenBOU,Ligier Renault,1:18.197,+4.200s
21,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:18.325,+4.328s
22,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:18.572,+4.575s
23,33,Mauricio GugelminGUG,Jordan Yamaha,1:18.597,+4.600s
24,16,Jan LammersLAM,March Ilmor,1:18.737,+4.740s
25,28,Nicola LariniLAR,Ferrari,1:18.776,+4.779s
26,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:20.074,+6.077s
