Pos,No,Driver,Car,Time,Gap,Laps
1,9,Mika HakkinenHAK,McLaren Mercedes,1:17.998,,27
2,22,Rubens BarrichelloBAR,Stewart Ford,1:18.339,+0.341s,24
3,8,Gerhard BergerBER,Benetton Renault,1:18.434,+0.436s,30
4,11,Ralf SchumacherRSC,Jordan Peugeot,1:18.713,+0.715s,20
5,7,Jean AlesiALE,Benetton Renault,1:18.794,+0.796s,24
6,10,David CoulthardCOU,McLaren Mercedes,1:18.912,+0.914s,30
7,4,Heinz-Harald FrentzenFRE,Williams Renault,1:18.926,+0.928s,29
8,5,Michael SchumacherMSC,Ferrari,1:18.954,+0.956s,29
9,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:19.034,+1.036s,29
10,1,Damon HillHIL,Arrows Yamaha,1:19.091,+1.093s,22
11,14,Olivier PanisPAN,Prost Mugen Honda,1:19.412,+1.414s,30
12,3,Jacques VilleneuveVIL,Williams Renault,1:19.640,+1.642s,30
13,6,Eddie IrvineIRV,Ferrari,1:19.708,+1.710s,23
14,2,Pedro DinizDIN,Arrows Yamaha,1:19.750,+1.752s,14
15,15,Shinji NakanoNAK,Prost Mugen Honda,1:20.073,+2.075s,30
16,16,Johnny HerbertHER,Sauber Petronas,1:20.373,+2.375s,26
17,23,Jan MagnussenMAG,Stewart Ford,1:20.592,+2.594s,7
18,18,Jos VerstappenVER,Tyrrell Ford,1:20.947,+2.949s,27
19,19,Mika SaloSAL,Tyrrell Ford,1:21.118,+3.120s,30
20,17,Gianni MorbidelliMOR,Sauber Petronas,1:21.387,+3.389s,30
21,21,Tarso MarquesMAR,Minardi Hart,1:21.424,+3.426s,26
22,20,Ukyo KatayamaKAT,Minardi Hart,1:38.344,+20.346s,6
