Pos,No,Driver,Car,Time,Gap,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:25.755,,29
2,22,Rubens BarrichelloBAR,Stewart Ford,1:26.693,+0.938s,24
3,14,Olivier PanisPAN,Prost Mugen Honda,1:26.983,+1.228s,23
4,8,Gerhard BergerBER,Benetton Renault,1:27.017,+1.262s,30
5,5,Michael SchumacherMSC,Ferrari,1:27.052,+1.297s,30
6,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:27.129,+1.374s,29
7,4,Heinz-Harald FrentzenFRE,Williams Renault,1:27.169,+1.414s,30
8,16,Johnny HerbertHER,Sauber Petronas,1:27.702,+1.947s,24
9,11,Ralf SchumacherRSC,Jordan Peugeot,1:27.823,+2.068s,30
10,7,Jean AlesiALE,Benetton Renault,1:27.979,+2.224s,22
11,6,Eddie IrvineIRV,Ferrari,1:28.137,+2.382s,28
12,10,David CoulthardCOU,McLaren Mercedes,1:28.163,+2.408s,27
13,1,Damon HillHIL,Arrows Yamaha,1:28.932,+3.177s,26
14,17,Nicola LariniLAR,Sauber Petronas,1:29.153,+3.398s,29
15,18,Jos VerstappenVER,Tyrrell Ford,1:29.302,+3.547s,29
16,9,Mika HakkinenHAK,McLaren Mercedes,1:29.426,+3.671s,27
17,19,Mika SaloSAL,Tyrrell Ford,1:29.893,+4.138s,20
18,15,Shinji NakanoNAK,Prost Mugen Honda,1:30.069,+4.314s,30
19,23,Jan MagnussenMAG,Stewart Ford,1:30.376,+4.621s,30
20,20,Ukyo KatayamaKAT,Minardi Hart,1:30.546,+4.791s,10
21,2,Pedro DinizDIN,Arrows Yamaha,1:30.727,+4.972s,22
22,21,Jarno TrulliTRU,Minardi Hart,1:31.269,+5.514s,14
