Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,81,Oscar PiastriPIA,McLaren Mercedes,1:10.265,1:09.239,1:08.899,16
2,4,Lando NorrisNOR,McLaren Mercedes,1:09.477,1:09.063,1:08.928,14
3,16,Charles LeclercLEC,Ferrari,1:10.388,1:09.248,1:09.153,18
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:10.409,1:09.489,1:09.219,12
5,55,Carlos SainzSAI,Ferrari,1:10.503,1:09.500,1:09.257,15
6,63,George RussellRUS,Mercedes,1:10.479,1:09.683,1:09.443,15
7,10,Pierre GaslyGAS,Alpine Renault,1:10.630,1:09.610,1:09.622,15
8,30,Liam LawsonLAW,RB Honda RBPT,1:10.576,1:09.827,1:09.941,11
9,23,Alexander AlbonALB,Williams Mercedes,1:10.366,1:09.844,1:10.078,12
10,50,Oliver BearmanBEA,Haas Ferrari,1:10.442,1:09.629,DNF,12
11,44,Lewis HamiltonHAM,Mercedes,1:10.625,1:09.941,,13
12,27,Nico HulkenbergHUL,Haas Ferrari,1:10.466,1:09.964,,8
13,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:10.392,1:10.024,,10
14,43,Franco ColapintoCOL,Williams Mercedes,1:10.470,1:10.275,,9
15,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:10.861,1:10.595,,12
16,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:10.978,,,6
17,31,Esteban OconOCO,Alpine Renault,1:11.052,,,6
18,22,Yuki TsunodaTSU,RB Honda RBPT,1:11.121,,,6
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:11.280,,,6
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:12.978,,,5
