Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:21.356,1:21.231,1:21.012,16
2,63,George RussellRUS,Mercedes,1:22.021,1:21.488,1:21.075,16
3,81,Oscar PiastriPIA,McLaren Mercedes,1:22.218,1:21.548,1:21.171,16
4,55,Carlos SainzSAI,Ferrari,1:21.838,1:21.809,1:21.281,19
5,16,Charles LeclercLEC,Ferrari,1:22.156,1:21.818,1:21.308,18
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:22.033,1:21.784,1:21.315,21
7,44,Lewis HamiltonHAM,Mercedes,1:22.151,1:21.734,1:21.474,19
8,10,Pierre GaslyGAS,Alpine Renault,1:22.586,1:22.352,1:21.978,19
9,27,Nico HulkenbergHUL,Haas Ferrari,1:22.569,1:22.318,1:22.088,15
10,30,Liam LawsonLAW,RB Honda RBPT,1:22.705,1:22.393,1:22.577,20
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:22.499,1:22.433,,12
12,23,Alexander AlbonALB,Williams Mercedes,1:22.705,1:22.526,,14
13,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:22.506,1:22.538,,13
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:22.522,1:22.599,,14
15,20,Kevin MagnussenMAG,Haas Ferrari,1:22.560,1:22.738,,14
16,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:22.718,,,7
17,22,Yuki TsunodaTSU,RB Honda RBPT,1:22.722,,,7
18,31,Esteban OconOCO,Alpine Renault,1:22.906,,,7
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:22.948,,,8
20,43,Franco ColapintoCOL,Williams Mercedes,1:23.423,,,8
