Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:36.384,1:36.047,1:57.940,13
2,44,Lewis HamiltonHAM,Mercedes,1:37.181,1:36.287,1:59.201,15
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:36.883,1:36.119,1:59.915,14
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:36.456,1:35.606,2:00.028,12
5,55,Carlos SainzSAI,Ferrari,1:36.719,1:36.052,2:00.214,15
6,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:36.110,1:35.781,2:00.375,12
7,16,Charles LeclercLEC,Ferrari,1:36.537,1:35.711,2:00.566,15
8,81,Oscar PiastriPIA,McLaren Mercedes,1:36.542,1:35.853,2:00.990,15
9,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:37.112,1:36.056,2:01.044,16
10,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:37.544,1:36.307,2:03.537,16
11,63,George RussellRUS,Mercedes,1:37.310,1:36.345,,10
12,20,Kevin MagnussenMAG,Haas Ferrari,1:37.033,1:36.473,,10
13,27,Nico HulkenbergHUL,Haas Ferrari,1:36.924,1:36.478,,10
14,3,Daniel RicciardoRIC,RB Honda RBPT,1:37.321,1:36.553,,9
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.961,1:36.677,,8
16,10,Pierre GaslyGAS,Alpine Renault,1:37.632,,,6
17,31,Esteban OconOCO,Alpine Renault,1:37.720,,,6
18,23,Alexander AlbonALB,Williams Mercedes,1:37.812,,,6
19,22,Yuki TsunodaTSU,RB Honda RBPT,1:37.892,,,6
20,2,Logan SargeantSAR,Williams Mercedes,1:37.923,,,6
