Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:33.908,1:33.290,1:32.833,12
2,63,George RussellRUS,Mercedes,1:34.125,1:33.544,1:32.845,14
3,16,Charles LeclercLEC,Ferrari,1:33.647,1:33.392,1:33.059,12
4,4,Lando NorrisNOR,McLaren Mercedes,1:33.919,1:33.566,1:33.083,14
5,55,Carlos SainzSAI,Ferrari,1:34.109,1:33.274,1:33.089,12
6,27,Nico HulkenbergHUL,Haas Ferrari,1:34.825,1:33.994,1:33.183,14
7,44,Lewis HamiltonHAM,Mercedes,1:33.840,1:33.370,1:33.378,12
8,20,Kevin MagnussenMAG,Haas Ferrari,1:34.403,1:33.788,1:33.398,14
9,22,Yuki TsunodaTSU,RB Honda RBPT,1:34.646,1:34.052,1:33.802,12
10,43,Franco ColapintoCOL,Williams Mercedes,1:34.606,1:33.952,1:34.406,15
11,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:34.333,1:34.244,,9
12,10,Pierre GaslyGAS,Alpine Renault,1:34.865,1:34.363,,9
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:34.324,DNF,,9
14,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:34.436,DNF,,9
15,30,Liam LawsonLAW,RB Honda RBPT,1:34.617,DNF,,9
16,81,Oscar PiastriPIA,McLaren Mercedes,1:34.881,,,6
17,31,Esteban OconOCO,Alpine Renault,1:34.917,,,6
18,23,Alexander AlbonALB,Williams Mercedes,1:35.054,,,6
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:35.148,,,6
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:36.472,,,6
