Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Renault,1:15.486
2,1,Ayrton SennaSEN,McLaren Honda,1:16.227
3,2,Gerhard BergerBER,McLaren Honda,1:16.672
4,6,Riccardo PatresePAT,Williams Renault,1:16.989
5,27,Jean AlesiALE,Ferrari,1:17.208
6,19,Michael SchumacherMSC,Benetton Ford,1:17.635
7,16,Karl WendlingerWEN,March Ilmor,1:18.115
8,20,Martin BrundleBRU,Benetton Ford,1:18.327
9,28,Ivan CapelliCAP,Ferrari,1:18.387
10,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:18.544
11,12,Johnny HerbertHER,Lotus Ford,1:18.626
12,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:18.749
13,26,Erik ComasCOM,Ligier Renault,1:19.200
14,25,Thierry BoutsenBOU,Ligier Renault,1:19.296
15,15,Gabriele TarquiniTAR,Fondmetal Ford,1:19.305
16,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:19.532
17,9,Michele AlboretoALB,Footwork Mugen Honda,1:19.571
18,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:19.621
19,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:19.636
20,23,Christian FittipaldiFIT,Minardi Lamborghini,1:19.641
21,11,Mika HakkinenHAK,Lotus Ford,1:19.672
22,29,Bertrand GachotGAC,Venturi Lamborghini,1:20.039
23,33,Mauricio GugelminGUG,Jordan Yamaha,1:20.120
24,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:20.126
25,22,Pierluigi MartiniMAR,Dallara Ferrari,1:20.203
26,7,Eric van de PoeleVAN,Brabham Judd,1:20.488
